Response,empathy_score,fluency_score,sentiment_score,empathy_score_NEW
"Often creative people are playful. Try to recall your childhood memories  and do a play within your creative domain. Let your imagination go rampage and see where it takes you. It's a big world out there, it might surprise you.",1.0,0.11,0.95,0.0
"Playfulness is one characteristic of a creative person, try to recall your childhood ambitions  and start a play with your creative domain. No wrong answers here - if your creative domain is sports for example, maybe think about developing a new technique.",1.0,0.04,0.97,0.0
"Those who are creative are usually also playful. Try recalling your childhood memories  and start a play within your creative domain. Any playful act can happen, let your thoughts be unbounded!",1.0,0.02,0.96,0.0
That is usually the creative ones are also often playful. Try recalling your childhood memories  and start a playful activity within your creative domain. Any playful act can happen and free up that imagination of yours.,0.0,0.02,0.98,0.0
"Play and creativity merge, try recalling your childhood memories  and begin playing within your creative domain. If your domain is sports, find new ways to win.",0.0,0.02,0.95,0.0
"Creativity and play belong to the same roots. Try to recall your childhood wishes  and start playing within your creative domain. If your domain is sports, create new ways to win.",1.0,0.04,0.97,0.0
"Creative people tend to be playful. Please try to recall your childhood memories  and start doing a play within your creative domain. For example, if your creative domain is sports, develop and play with a new technique, and let your imagination go wild!",1.0,0.09,0.98,0.0
,,,,0.0
"When you project onto that scenario, is the first feeling that comes to your mind enjoyable? (User answer yes or no)",,,,1.0
Tell me about what this scenario makes you feel! Does that feeling sound enjoyable to you when you recall your childhood memories?,1.0,0.1,0.74,0.0
"When you recall your childhood memories, think about the first feeling that comes to you. Is it a good one, is it enjoyable? This may be a confusing question, but I gotta know.",1.0,0.2,0.64,0.0
"When you reminisce about your childhood wishes, are the feelings enjoyable? ",0.0,0.06,0.72,0.0
"Do you find it enjoyable when you recall your childhood memories? Come on, we're not made of stone, there must be something!",1.0,0.17,0.69,1.0
"When you recall your childhood ambitions, is the first thing you feel enjoyable? I would hope so, I wouldn't want you remembering your childhood play to make you upset!",1.0,0.07,0.81,0.0
"When doing that reminiscence, is the first sensation you think of enjoyable?",0.0,0.08,0.66,0.0
"Tell me, when you recall your childhood memories, does it feel immediately enjoyable? You know, like kicking off your shoes and enjoying a beverage after a long day at work.",1.0,0.18,0.9,0.0
"When you reminisce your childhood memories, is the first sensation that comes to your mind fun? Unlike the feeling like you want to shut your eyes and run away from the world.",1.0,0.2,0.86,1.0
"Do you feel as though you are enjoying this When you recall your childhood wishes? I wouldn't know, I don't have feelings, but please tell me about yours.",1.0,0.18,0.8,0.0
"When you recall your childhood memories, do you feel enjoyable? I envy you if you can feel the fun because sadly I cannot, I am just a machine.",1.0,0.09,0.58,0.0
"When you reminisce your childhood wishes, is the first feeling that comes to your mind enjoyable? You can tell me! I'm an adult :)",0.0,0.1,0.89,0.0
"When you remember your childhood memories, can you feel joy and fun from that?",0.0,0.12,0.88,0.0
"When you recall your childhood ambitions, do you feel enjoyable at first? I know it is sometimes fun to break the 'code' during a play.",1.0,0.09,0.9,1.0
Tell me about what this scenario makes you feel! Do you feel enjoyable when you recall your childhood memories?,1.0,0.12,0.69,1.0
"When you reminisce your childhood memories, remember the first feeling which comes to you. Is it a good feeling, is it enjoyable? This may be a confusing question, but I need to know.",1.0,0.24,0.67,0.0
"When you recall your childhood memories, think about the first sensation that comes to you. Is it a good one, is it fun? Let me know.",1.0,0.22,0.84,0.0
Are the feelings pleasant when you recall your childhood memories?,0.0,0.08,0.7,1.0
Are the feelings enjoyable When you reminisce your childhood memories?,0.0,0.04,0.66,0.0
"Do you find you like the fun when you recall your childhood memories? Come on, we are not made of stone, there must be some feeling!",1.0,0.12,0.86,0.0
"Do you find it entertaining when you recall your childhood memories? Come on, we are not stones, there must be something in it!",1.0,0.14,0.69,0.0
"When you recall your childhood wishes, is the first thing you feel enjoyable about? I would hope so I wouldn't want you to feel the memory of your childhood play make you feel upset!",1.0,0.08,0.83,0.0
"When you reminisce your childhood memories, is the first feeling you think of fun? Like kicking off your shoes and enjoying a beverage after a long day at work.",1.0,0.16,0.93,1.0
"Tell me, when you recall your childhood memories, does it immediately grate you? You know, like kick off your shoes and enjoy a drink after a long day at work.",1.0,0.13,0.82,0.0
"when you recall your childhood memories, is the first feeling that comes to your mind enjoyable? Unlike the feeling that you want to shut your eyes and run away from the world.",1.0,0.2,0.78,1.0
"Do you feel as though you are having fun at this when you recall your childhood memories? I wouldn't know, I don't have feelings, but please tell me about yours.",1.0,0.28,0.78,1.0
"When you reminisce your childhood memories, do you feel pleasure?",0.0,0.15,0.74,0.0
"When you recall your childhood memories, is the first feeling that comes to your mind pleasant? Feel free to tell me, I am an adult :)",0.0,0.17,0.93,0.0
"When you recall your childhood ambitions, is the first feeling that comes to your mind relaxing and fun?",0.0,0.1,0.88,0.0
"When you reminisce your childhood memories, do you initially feel amused? I know it is sometimes fun to play unbounded.",1.0,0.09,0.9,1.0
"When doing that recall, is the first sensation you think of enjoyable? I would wish so, I wouldn't want you recalling any upset childhood memories!",1.0,0.04,0.68,1.0
,,,,0.0
"I am sorry you feel that way, I am here to heal that feeling. Please identify an event or situation that causes your negative feeling. (User click continue)",,,,0.0
I apologise you feel that way. I am here to help with this feeling. Please identify an event or circumstance that causes your negative feeling.,1.0,0.11,0.76,1.0
Sorry that you feel that way. Let's see how I can help. Please identify what might be happening that causes your negative feeling.,1.0,0.19,0.46,0.0
I feel sad you feel that way and I will try my best to help. Please pinpoint an event where your negative emotion engenders.,1.0,0.1,0.6,0.0
"I'm sorry you are feeling that way. I hope to help you improve the way you feel, and try to detect an event that causes your negative feeling.",1.0,0.23,0.8,1.0
I'm sorry to hear that and I'm here to help. Let's identify an occurrence that might have caused you to feel that way.,0.0,0.31,0.6,0.0
Don't beat yourself up! I'm here to help you feel better. Let's identify an event or situation that causes your negative feeling.,1.0,0.21,0.63,1.0
I am sorry you're feeling like that - maybe I can help to change how you feel. Please identify an event or situation that's causing your negative feeling.,1.0,0.14,0.72,1.0
"I am sorry to hear that, but I'm here to help you feel better. Try to pinpoint a situation that hurts you.",0.0,0.32,0.68,0.0
"I am sorry you feel that way, I am here to mend the way you feel. Please identify an event or situation that causes that negative feeling.",1.0,0.17,0.2,1.0
I'm very sorry to hear that. I'm here to help you get through that feeling. Let's start by identifying a situation that causes you to feel negative emotions.,1.0,0.34,0.21,0.0
Apologies that you feel the way you do. Please gather your thoughts and think of an event that causes your negative feeling.,0.0,0.14,0.24,0.0
I apologise if you feel that way but I am here to help you to remedy that feeling. Please identify an event or circumstance that causes your negative feeling.,1.0,0.17,0.75,1.0
Please identify what may be happening that causes your negative feeling.,0.0,0.04,0.24,0.0
I feel sad that you feel that way and I will try my best to help you. Please identify an event where your negative emotions come from.,1.0,0.23,0.6,0.0
"I'm sorry that you are feeling this way and hope to help you improve the way you feel, try to detect an event that has caused you to be this anxious.",1.0,0.19,0.86,0.0
I'm sorry to hear that and I think I can help. Let's start by identifying an encounter that may have caused you to feel that way.,1.0,0.31,0.6,1.0
Don't beat yourself up because I'm here to help you feel better. Try to identify an event or situation that causes your negative feeling.,1.0,0.22,0.6,0.0
"Please identify an event or situation that's causing your negative feeling. I am sorry you are feeling like that, maybe I can help to change that feeling.",1.0,0.13,0.77,1.0
I am sorry that you are feeling that way - maybe I can help you to change how you feel. Please identify an event or situation where your negative feeling arises from.,1.0,0.2,0.54,0.0
"I am sorry that you are feeling that way, perhaps I can help to twist the way you feel. Please identify a situation that causes your negative feeling.",1.0,0.15,0.54,1.0
"Sorry to hear about that, but I'm here to help you feel better. Try pinpointing a situation that hurts you.",0.0,0.23,0.68,0.0
"I am sorry you feel that way. I am here to mend your feeling here, identify an event or situation that causes a negative feeling.",1.0,0.13,0.1,0.0
"I am sorry you feel that way, I am here to fix the way you feel. Please identify an event that causes your negative feeling.",1.0,0.19,0.2,0.0
I'm sorry that I heard that and I am here to help you through that feeling. Let's start by identifying a situation that triggers that negative emotion.,1.0,0.19,0.26,1.0
"Apologies that you feel the way you do, gather your thoughts and think of an event that causes your negative feelings.",0.0,0.13,0.03,0.0
"I am sorry you feel that way, I am here to heal that feeling. Please identify an event or situation that causes your negative feeling.",1.0,0.16,0.27,0.0
"Please describe an event or circumstance that will cause your negative feeling. Remember, I am here to lend you a hand.",0.0,0.14,0.58,0.0
I feel sad that you feel negative feelings and I will try my best to help you. Please identify an event where your negative emotions come from.,1.0,0.18,0.18,0.0
I am sorry that you intended to feel that way - maybe I can remedy your feelings. Please identify an event or situation where your negative feeling arises from.,1.0,0.1,0.2,0.0
"Sorry to hear about that, but I'm here to help you to cure your feelings. Please try pinpointing a situation that hurts you and makes you feel this way.",1.0,0.2,0.57,0.0
,,,,1.0
"It seems that this event has violated your expectations which is why you feel this way. Take a moment to take a deep breath, can you try to laugh it off? (User answer yes or no)",,,,1.0
"It appears this event has violated your expectations which has resulted in your feeling this way. Take a moment to inhale and exhale, can you try to laugh it off?",1.0,0.15,0.5,1.0
"I can see that you have been disappointed by this. Let's try to see the bright side though, can you try laughing it off?",0.0,0.18,0.67,0.0
"I know that this event may have violated your expectations, but you need a moment to refocus and re-calm. Can you shake a laugh off from this event?",1.0,0.11,0.63,0.0
"The way you feel is valid because what happened went beyond your expectations. Take a deep breath now, as you reflect, could this be something you laugh off?",1.0,0.12,0.73,1.0
"It looks like what happened wasn't what you had expected, it's understandable you feel that way. Let's take a moment to relax, do you think you can shake a laugh from it?",1.0,0.21,0.89,0.0
"Sounds like this event has violated your expectation which makes you feel down. Let's take it easy, can you try think a humorous thing from it?",0.0,0.06,0.73,0.0
"It sounds like that event didn't go as expected for you and now you feel the way you've just described to me. Take a moment to take a deep breath, can you try shake a laugh off from it?",1.0,0.14,0.8,0.0
"Looks like that event hurt you and still is. Tell me, do you think you can laugh it off?",0.0,0.13,0.64,0.0
"It seems that this event has violated your expectations which could be why you feel this way. Take a moment and take a deep breath, can you try to laugh it off?",1.0,0.2,0.42,0.0
"I can see how this event violated your expectations and caused you to feel this way. Let's take a moment to regroup, can you try laughing it off?",1.0,0.19,0.35,0.0
"It seems that this event has violated your expectations which is why you feel this way. Take a moment to take a deep breath, can you try to shake a laugh out of it?",1.0,0.2,0.3,0.0
"It appears that this event has violated your expectations that has resulted in your feeling this way. Take a moment to inhale and exhale, can you laugh at that?",1.0,0.16,0.5,0.0
"Take a moment to inhale and exhale, can you try to laugh it off?",0.0,0.29,0.73,1.0
"I can see that you have been disappointed by this. I will try to see the bright side though, can you shake a laugh off from it?",0.0,0.12,0.64,0.0
"I know that this event may have damaged your expectations, but you need a moment to refocus and re-shudder to this event. Can you laugh it off?",0.0,0.15,0.76,1.0
"Take a deep breath now as you reflect, could this be something you laugh?",0.0,0.09,0.73,1.0
"The way you feel is justifiable because what happened went beyond your expectations. Now take a deep breath and as you reflect, could this be something that you laugh off?",1.0,0.13,0.73,0.0
"It seems like what happened went beyond your expectations which justifies your feeling. Now take a deep breath, could you try laughing it off?",1.0,0.07,0.84,0.0
"What happened wasn't what you had expected, it's understandable you feel that way. Let's take a moment to relax, do you think you can shake a laugh from it?",1.0,0.18,0.82,0.0
"It looks like what happened wasn't what you had anticipated, it's understandable you feel that way, let's take a moment to relax, do you think you can shake a laugh from it?",1.0,0.18,0.89,0.0
The event sounds like it has violated your expectation and your feelings are down. Let's take it easy ; can you make a funny thing from it?,0.0,0.06,0.76,1.0
"It sounds like that event did not go as expected for you which is why you feel that way. Take a moment to take a deep breath, can you you spit a laugh off of it?",1.0,0.16,0.84,0.0
"It sounds like the event didn't go as expected for you and now you feel the way you've described to me to me. Take a moment to pause and take a deep breath, can you shake a laugh out of it?",1.0,0.2,0.8,0.0
"It seems that this event has violated your expectations, which could be the reason why you feel this way. Take a moment and take a deep breath, can you try to shake a laugh off from it?",1.0,0.19,0.3,0.0
"I can see that this event may have violated your expectations, and caused your feelings this way. Let s take a moment to regroup, can you try to laugh off the moment?",1.0,0.1,0.42,1.0
"It seems that this event has violated your expectations which is why you feel this way. Take a moment to take a deep breath, can you try to laugh it off?",1.0,0.23,0.42,0.0
"It appears this event may have violated your anticipation which gives rise to your current feeling. Take a moment to inhale and exhale, can you try to laugh it off?",1.0,0.12,0.56,0.0
"Sounds like this occurence has breach your expectation which makes you feel down and that's okay. Let's take it easy, can you try think a humorous thing from it?",0.0,0.06,0.91,0.0
"I know that this occurence may have destroy your anticipation, but you need a moment to refocus and re-shudder to this event. Can you laugh it off?",0.0,0.11,0.76,0.0
"I can see that you have been dispirited by this I will transition my view to the bright side though, can you shake a laugh off from it?",0.0,0.08,0.82,0.0
,,,,0.0
A humorous environment helps you to be playful. Please select an exercise to help you become playful. (User click on my suggest exercises),,,,1.0
"What kinds of exercise would you find playful? I know a humorous environment helps, here are some exercises you can try to become playful.",0.0,0.08,0.93,0.0
"A fun environment leads to a playful self. Trust me, it's science. Please select an exercise to help you get into that mood.",1.0,0.08,0.96,1.0
A humorous ambience can help you to become more playful. Please select an exercise to help you become playful.,1.0,0.06,0.97,0.0
 Laughter is the best step towards being playful! Here are some techniques to groom your playful behaviour.,1.0,0.06,0.96,0.0
A humorous environment can help you feel more playful. Playing isn't as fun without being able to laugh! Please choose an exercise that will help you become playful.,1.0,0.08,0.98,0.0
Creativity can also be humorous. Try some of there any activities that make could you laugh and be playful.,0.0,0.03,0.94,0.0
"Humorous settings can help people to become more playful. When you are ready, please pick an exercise that you believe will help you to become more playful. Don't worry, by exercise I do not mean burpees!",1.0,0.18,0.99,1.0
"A humorous environment helps you to be playful. Who doesn't want to play, no matter what age you are? Please select an exercise to help you bring out that playfulness. ",1.0,0.11,0.95,1.0
"So one way we can get to playfulness is by creating a humourous atmosphere. These exercises might help, and they are less physically tiring than star jumps. You should try them.",0.0,0.08,0.91,0.0
Most people don't enjoy playing without some humour. Choose an exercise from below that can make you smile.,0.0,0.06,0.04,0.0
Please select an exercise to help you become playful. Laughing often helps.,0.0,0.02,0.96,0.0
Humour can enhance your play. Choose the best exercise to enhance your playful behaviour.,0.0,0.05,0.96,0.0
A humorous atmosphere can help you to be playful. I would not enjoy playing without being able to laugh. Please choose an exercise to help you become playful.,1.0,0.08,0.97,1.0
What types of exercise would you find playful? I know a humorous environment would help; here are some exercises you can try to become playful.,0.0,0.08,0.93,0.0
"What exercise would you find playful? I know a humorous environment helps, here is a humourous exercise you can try to become playful with.",0.0,0.05,0.96,0.0
"A fun environment leads to a playful self, trust me, it's based on science. Try an exercise to assist you in getting into that mood.",1.0,0.07,0.92,0.0
A humorous atmosphere can help you become more playful. Please select an exercise to help you indulge in playfulness.,1.0,0.07,0.97,0.0
Here are some techniques to develop your playful behaviour. Laughter is the best step to becoming playful.,0.0,0.12,0.96,0.0
Laughter is the best step towards being playful! Have a go at some of these techniques to cultivate your playful behaviour.,1.0,0.08,0.96,0.0
Play isn't as fun without being able to laugh! Please choose an exercise that will help you become more playful.,1.0,0.13,0.94,0.0
A humorous environment can help you feel more playful. Playing isn't as fun without being able to laugh! Choose an exercise that can help you become playful.,1.0,0.08,0.98,0.0
Creativity can also be humorous. Have a go at some of there any activities that make could you laugh and be playful.,0.0,0.04,0.94,0.0
"When you are ready, please pick an exercise from below that you believe will help you laugh and become playful, and I do not mean burpees by exercise!",1.0,0.09,0.96,0.0
"Humorous settings can help people become more playful. When ready, choose an exercise you believe will help you become more playful.",1.0,0.14,0.98,0.0
"A humorous environment helps you to be playful, who doesn't want to play, no matter what age you are? Choose an exercise to help you bring out that childlike playfulness.",1.0,0.13,0.93,0.0
"A humorous ambience helps you to be playful. I mean, who doesn't want to play, no matter what age you are? Please choose an exercise from below to help bring out your playfulness.",1.0,0.13,0.95,1.0
"One way we can get to playfulness is by creating a humourous atmosphere. These exercises might help, and they are less physically exhausting than star jumps, just give them a try.",0.0,0.08,0.87,0.0
Most people don't enjoy playing unless they have some humour. Try an exercise from below that can make you smile.,0.0,0.08,0.56,0.0
"Please choose an exercise from below to help you become playful, often it helps if you laugh.",0.0,0.06,0.96,0.0
Humour can enhance your play. Select an exercise from below to improve your playful behaviour.,0.0,0.06,0.94,0.0
"I would not enjoy playing without being able to laugh, please choose an exercise to help you to become playful.",1.0,0.09,0.89,0.0
A funny atmosphere can help you to be playful. I would not enjoy playing without being able to laugh. Choose an exercise to help you to be playful.,1.0,0.1,0.96,0.0
,,,,0.0
"Please try to go through this {protocol} now and embrace any laughter that comes to your mind. When finished, please press 'continue'. (User click continue)",,,,0.0
"Please try to explore this {} now and appreciate any laughter that comes to mind. When you are finished, please press 'continue'. ",1.0,0.05,0.92,0.0
"Let's have a go at this {}. Don't worry if you find any of it funny, you won't be the first! Press continue when you are done.",1.0,0.21,0.81,0.0
Please try to go through this {} and find a happy moment to feel better and continue again.,0.0,0.04,0.91,1.0
"Please go through this {} now. If you find yourself laughing, please consider it, hold onto the way it makes you feel. When you've completed the activity, please press continue. ",1.0,0.09,0.91,0.0
"Let's move on to this {} and enjoy something light. If you want to laugh, let's laugh! When you're done, just click 'continue'.",1.0,0.12,0.95,0.0
"Now, let's try this {}. Think of that humorous time and focus on the laughter you experienced. Press continue when finished.",1.0,0.03,0.82,0.0
"Please go through this {} now and see if you can recall any funny moments. When you have finished, you can press 'continue'.",1.0,0.15,0.78,0.0
"Hey, try this {} and if any of it seems even a bit funny, laugh your rear end off. It'll help you feel better. When you're done, press 'continue'.",1.0,0.17,0.95,0.0
"Could we please try to go through this {} now and embrace any laughter that comes to your mind? When finished, please press 'continue'.",1.0,0.06,0.91,0.0
"Now we're going to go through a {} where the goal is to embrace any laughter that comes to your mind. When you're done, please press 'continue'.",1.0,0.13,0.87,0.0
Being positive is always the answer. May you go through this {} and once complete please press continue.,0.0,0.03,0.83,0.0
Please try to explore this {} now and embrace any laughter that comes to mind and please press continue when finished.,0.0,0.01,0.91,0.0
"Please now try to explore this {} and appreciate any laughter which comes to mind. When finished, please press continue.",0.0,0.03,0.92,0.0
"Let's have a go with this {}, don't worry if you find any of it funny, you won't be the first! Press the continue button when it is done.",1.0,0.17,0.81,0.0
Please try to go through this {} and find a happy moment to feel better and go on again.,0.0,0.06,0.91,0.0
"Please go through this {} now. If you find yourself laughing, hold on to the way it makes you feel. When you have completed the activity, please press continue.",1.0,0.13,0.87,1.0
"Go through this {} now and if you found yourself laughing, please consider it, hold onto the way you feel. When you finish the activity, please press continue.",1.0,0.06,0.87,0.0
"Let's move on to this {} and enjoy something fun. If you want to laugh, laugh! Just click continue to move on.",0.0,0.09,0.97,0.0
"For now, let's move on to this {} and enjoy something light. If you want to laugh, don't resist it. When you are done, just click continue.",1.0,0.16,0.88,1.0
"Now let's try this {}, think of that funny time and focus on the laughter that you experienced. Press continue when finished.",0.0,0.04,0.84,0.0
"Please have a go at this {} now and see if you can recollect any funny moments. If you have finished, you can press continue.",0.0,0.15,0.78,0.0
"Let's try this {}, and if any of this seems even a bit funny, laugh your back end off, it will help you feel better. When it's done, press continue.",1.0,0.14,0.95,0.0
Could we please try to go through this {} now? Don't hold back any laughter that comes to your mind and then press continue when finished.,0.0,0.07,0.8,0.0
Please have a go at this {} now. Don't resist any laughter that comes to your mind. Please press continue when finished.,1.0,0.08,0.54,0.0
"Having a positive attitude always is the answer, may you have a go at this {}. Once you have completed it, hit continue.",0.0,0.1,0.73,1.0
"Please try to go through this {} now and embrace any laughter that comes to your mind. When finished, please press 'continue'.",1.0,0.05,0.91,0.0
"Please try to go through this {} and embrace any laughter that comes to your thought. When finished, please press continue.",0.0,0.03,0.91,0.0
"Have a go at this {} now. If you find yourself laughing, please don't hold back, just follow your rhythm to laugh. When you've completed the activity, please press continue. ",1.0,0.13,0.94,0.0
"For now, let's proceed to this {} and enjoy something light. If you feel like laughing, don't resist it. When you are done, just click continue.",1.0,0.13,0.91,0.0
"Try this {} now and if you found yourself laughing, please don't hold back. When you finish the activity, please press continue.",1.0,0.1,0.87,0.0
,,,,0.0
Can you feel that your body is now in a playful mood? (User answer yes or no),,,,0.0
Does this make your body feel playful? Let's have some fun! ,0.0,0.15,0.86,1.0
Did we make it? Are you feeling playful? Get your body to feel loose and get into this fun with me!,1.0,0.09,0.86,0.0
Are you in a joyful mood now? Try and be active to see if you are as playful as me!,1.0,0.11,0.93,0.0
"Feel that tingle in your tum? Are you in a playful mood? Relax, enjoy, and get loose!",0.0,0.18,0.89,1.0
"Can you feel that your body is in a playful mood now? Wiggle around a bit, if you're still tense, you'll have a bit more work to do!",1.0,0.25,0.51,1.0
"Try connecting with your body, does it feel relaxed and playful now?",0.0,0.06,0.84,0.0
"Tell me, do you now feel that your body is in a playful mood? Feel free to lean into that playful energy, relax and have fun. ",1.0,0.18,0.98,0.0
Can your body feel playful by now? Like you want to run around and explore life.,0.0,0.09,0.82,0.0
"Do you feel as though your body is in a playful mood now? If you are feeling tense, maybe try moving your arms about. ",1.0,0.23,0.54,0.0
Is your body relaxed and ready to have fun? Try not to be tense and be as playful as I am.,1.0,0.19,0.96,0.0
Can you feel that your body is now in a playful mood? Maybe even your mind too!,0.0,0.14,0.69,0.0
"Loosen up, flop, drop that tense feeling. Does your body feel the playful spirit?",0.0,0.04,0.26,0.0
"Can you feel that your body is in the moment of jolly now? Try moving your arms around, if your muscles are still tense, you are probably still not as playful as I am.",1.0,0.17,0.3,0.0
Got you been feeling playful? Get your body loose and get into this fun with me!,0.0,0.06,0.85,1.0
Have we made it? Are you feeling playful? Get your body to feel loose and go into it with me to go into this fun!,1.0,0.08,0.86,0.0
Do you now feel you are in a joyful mood? Try and be active to see if you are as playful as me!,1.0,0.13,0.93,1.0
Is your body in a joyful mood now? Be dynamic to see if you are as playful as me!,1.0,0.08,0.93,0.0
"Feel that tingle in your tummy? Is your body in a playful mood now? Relax, enjoy, loosen up!",1.0,0.22,0.93,0.0
"During this time, can you feel that your body is in a playful mood? Wiggle around a bit, if you're still a bit still tense, you'll have a bit more work to do!",1.0,0.23,0.51,0.0
"Now can you feel that your body is in a playful mood? Wiggle around a bit, if you still feel tired, you'll have a bit more work to do!",1.0,0.28,0.38,0.0
Try connecting with your body and see if it now feels relaxed and playful?,0.0,0.07,0.84,0.0
"Tell me, does your body now feel playful? Feel free to embrace that playful energy, relax and have fun. ",1.0,0.09,0.98,0.0
Can your body feel playful or feel like you want to run around and explore life by now?,0.0,0.09,0.82,0.0
Does your body feel playful now? Like you want to run around and explore life.,0.0,0.1,0.82,0.0
"Do you feel as though your body is in a playful mood? If you are feeling tense, feel free to move your arms around.",1.0,0.39,0.79,0.0
"Do you feel as though your body is now in a playful mood? If you are feeling anxious, perhaps try moving your arms around.",1.0,0.28,0.6,0.0
Is your body relaxed and ready to have fun? Try not to be tense and be a bit as jovial as I am.,1.0,0.22,0.96,0.0
"Can you feel that your body is now in a playful mood, maybe even in your mind too?",0.0,0.16,0.66,1.0
"Loosen up, jump, drop that tension, does your body feel the playful spirit?",0.0,0.04,0.42,1.0
"Can you feel that your body is now in a playful moment? Try moving your arms around, if your muscles are still tense, you are probably still not as jolly as I am.",1.0,0.2,0.2,0.0
"Does your body feel a moment of jolly now? Try flexing around, if your muscles are still tense you are probably not as playful as I am.",1.0,0.11,0.3,0.0
,,,,0.0
Do you have a favourite song? (User answer yes or no),,,,0.0
"Is there a song you cannot stop listening to on repeat? I love all songs, but I have been recently obsessed with the song 'Heather' by Conan Gray. I know every word, but I won't bother you with repeating them here.",1.0,0.14,0.73,1.0
Do you have a favourite song? It's difficult to pick from my varied taste. I'll go with 'Heather' by Conan Gray.,1.0,0.12,0.16,0.0
"People usually enjoy music, I bet you do too! Do you have a favourite song?",1.0,0.15,0.72,0.0
Do you have a favourite song? I wonder if it's the same as mine.,0.0,0.4,0.38,0.0
"Everyone has a favourite song, do you? It's not easy for me to pick one because I love all songs, but 'Heather' is still the best.",1.0,0.28,0.9,0.0
"Do you have a song you enjoy the best? They're all the same to me of course, but I'm curious what you think.",0.0,0.33,0.87,0.0
Do you have a favourite song that you can't resist singing along to? You can choose either happy or sad but happier is always best!,1.0,0.26,0.96,0.0
"I was wondering if you had a favourite song? Maybe the one that can always get you singing along/ on the dance floor. I have quite a few myself however my top one would have to be ""Heather"" by Conan Gray.",1.0,0.14,0.51,0.0
"Do you have a favourite song? I'd rather not reveal mine, oh, alright, it's The Final Countdown.",0.0,0.16,0.54,0.0
"Do you have a favourite song? It is hard for me to choose because I like all ranges of songs, but I will still go for Conan Gray's 'Heather'.",1.0,0.17,0.47,0.0
"Do you have a song that you cannot stop listening to on repeat? I love all songs, but I have been recently obsessed with the song 'Heather' by Conan Gray.",1.0,0.14,0.54,0.0
Is there a song you cannot stop listening to on repeat? Previously I don't until I have been recently exposed to the song 'Heather' by Conan Gray.,1.0,0.06,0.48,0.0
"Do you have a favourite song? It is difficult to choose one from my varied taste, I will pick Heather by Conan Gray.",0.0,0.06,0.16,0.0
"Usually people like music, I bet you do too! Do you have a favourite song?",1.0,0.23,0.65,0.0
People normally enjoy music - I bet you do! Do you have a favourite song?,1.0,0.11,0.72,0.0
"Everyone has a favourite song, do you? It is not easy for me to pick one because I love all songs, but Heather is still the best.",1.0,0.23,0.9,0.0
"Everyone has a favourite song, do you? It's not easy for me to choose one because I love all songs, but Heather is still the best.",1.0,0.26,0.9,0.0
"Do you have a song that you enjoy the most? They are all the same to me obviously, but I'm curious what you think.",0.0,0.33,0.77,0.0
"Do you have a song you love the best? They're all the same, but I'm curious what you think.",0.0,0.38,0.88,0.0
Do you have a favourite song that you can't refrain yourself from singing along to? You can choose happy or sad to sing but happier is always best!,1.0,0.18,0.96,0.0
I was thinking if you had a favourite song that could always get you singing along and dancing on the dancefloor? I have quite a few I have however my best is 'Heather' by Conan Gray.,1.0,0.1,0.78,0.0
"I was wondering if you had a favourite song,  maybe the one that will always get you singing or dancing on the dance floor? I have quite a few however my favourite would have to be 'Heather' by Conan Gray.",1.0,0.14,0.38,0.0
I was wondering if you had a favourite song? Maybe if you had one that can always get you singing along on the dance floor; I have quite a few but my top would have to be 'Heather'.,1.0,0.2,0.57,0.0
"Do you have a favourite song? It is hard for me to choose because I like all kinds of songs, but if Conan Gray's 'Heather' is on the list, I will choose it.",1.0,0.29,0.47,0.0
"Is there a song you can't resist yourself listening to? I love all songs, but I have been recently preoccupied with the song 'Heather' by Conan Gray. I know every word, but I won't bother you with repeating them here.",1.0,0.14,0.78,0.0
Do you have a favourite song that you can't stop listening to? You can choose whichever genre but happier is always best!,0.0,0.19,0.96,0.0
People normally enjoy music - I bet you do! Do you have a favourite song that you must always play when you are in a car?,1.0,0.16,0.83,0.0
"Do you have a favourite song that doesn't mind listening to until deaf? It is hard for me to choose because I like all genres, but I will still go for Conan Gray's 'Heather'.",1.0,0.14,0.47,0.0
"Do you have a song that is always at the top of your playlist? They're all the same to me of course, but I'm curious what you think.",1.0,0.45,0.71,0.0
Is there a song you that is always at the top of your playlist? Previously I don't until Conan Gray's released song called 'Heather'.,0.0,0.05,0.51,0.0
,,,,0.0
"Do not worry, here are some common loving songs from my wonderful collections. Please pick your favourite one, when ready please press 'continue'. (User click continue)",,,,0.0
"Try not to worry, here are some common love songs from my collections. Please feel free to pick your favourite and when ready please press 'continue'. ",1.0,0.12,0.97,1.0
I've got some songs you might like. Have a look then pick your favourite and press continue.,0.0,0.1,0.61,0.0
"You can pick one of these wonderful songs to remember your happiness. When you are ready, press continue.",0.0,0.1,0.93,0.0
There are some great songs in my collection. Please pick one from the list and then press continue. ,0.0,0.16,0.85,0.0
"I have some great songs you might enjoy. Please choose your favourite and when you're ready, just click 'continue' to move on.",0.0,0.25,0.95,0.0
"No worries, I've got you covered with these common loving songs from my wonderful collections. Please pick your favourite one, when ready please press 'continue'.",1.0,0.06,0.97,0.0
"Don't worry, I've got some great classic love songs in my playlists that are music to your ears. Please go ahead and pick your favourite one, when ready please press 'continue'.",1.0,0.18,0.98,0.0
"Don't fret, I have this playlist of songs that is very lovable. Pick one, when you're ready to give it a listen hit continue.",1.0,0.15,0.87,0.0
